"Report #","Source File","Classification","Stage","Reasoning (Summary of Affective Content)"
39,"./DL027/DL027_night10.txt","Unpleasant/Anxious",2,"A work-anxiety dream. The team is ""un po' demoralizzati"" (a bit demoralized) because they can't solve a problem."
40,"./DL027/DL027_night14.txt","Unpleasant/Anxious",2,"A frustrating interaction where a colleague ""si arrabbia"" (gets angry) and ""mi manda a quel paese"" (tells me to go to hell) , leaving the dreamer ""interdetto"" (stunned)."
41,"./DL030/DL030_night02.txt","Unpleasant/Anxious",2,"The dream starts ""tranquilla"" (calm) but shifts to an invented Game of Thrones battle, where the dreamer feels ""tensione, di ansia e di paura"" (tension, anxiety, and fear)."
42,"./DL030/DL030_night03.txt","Unpleasant/Anxious",2,"An unsettling collection of images: lawyers plotting a ""truffa"" (fraud) and ""Scene di persone che erano state uccise"" (Scenes of people who had been killed)."
43,"./DL030/DL030_night04.txt","Unpleasant/Anxious",2,"A Game of Thrones battle where dragons ""distruggono tutto con le fiamme"" (destroy everything with flames) and kill indiscriminately."
45,"./DL030/DL030_night08.txt","Unpleasant/Anxious",5,"A basketball game crowd ""si arrabbia con me"" (gets angry with me) for the game ending in a tie, followed by frustration with a client."
46,"./DL030/DL030_night10.txt","Unpleasant/Anxious",2,"A classic stress dream of being forced to serve customers in two different restaurants that are not yet open."
47,"./DL030/DL030_night11.txt","Unpleasant/Anxious",5,"A frustrating and absurd dream: trying to claim a prize from a town that ""non esiste"" (doesn't exist) , and getting ""cacciato"" (kicked out) of a fake police station."
51,"./DL034/DL034_night04.txt","Unpleasant/Anxious",2,"A stress dream about being ""in ritardo"" (late) for a photo shoot."
53,"./DL034/DL034_night09.txt","Unpleasant/Anxious",5,"A confrontation where the dreamer ""mi agitavo di nuovo"" (got agitated again) while dealing with people who were bothering them."
55,"./DL041/DL041_night13.txt","Unpleasant/Anxious",2,"An unsettling conversation where the dreamer ""con molta naturalezza"" (very naturally) discusses the money saved for her own funeral."
56,"./DL041/DL041_night14.txt","Unpleasant/Anxious",2,"The dream is dominated by ""grossa... angoscia"" (big... anguish) about a potential demotion at work , followed by annoyance at dark stairs and not getting a drink."
62,"./DL048/DL048_night03.txt","Unpleasant/Anxious",2,"A catastrophic event: ""un aereo precipitava vicino a noi"" (a plane was crashing near us). The dreamer has to save her father from ""fiamme"" (flames)."
63,"./DL048/DL048_night07.txt","Unpleasant/Anxious",5,"""ero molto preoccupata"" (I was very worried) and confused about a university course, in a setting with ""molto caos"" (lots of chaos)."
64,"./DL048/DL048_night09.txt","Unpleasant/Anxious",5,"Social anxiety. An advisor asks ""ma tu odi parlare, vero?"" (you hate talking, don't you?), forcing the dreamer to explain why."
65,"./DL048/DL048_night12.txt","Unpleasant/Anxious",5,"The dreamer feels ""intensa vergogna"" (intense shame) for sending an ungrammatical and wrong email to the entire PhD community."
66,"./DL049/DL049_night01.txt","Unpleasant/Anxious",5,"A phobia-centric dream: the dreamer is ""dando la caccia ad un ragno"" (hunting a spider) while being judged for their ""fobia"" (phobia)."
68,"./DL049/DL049_night03.txt","Unpleasant/Anxious",2,"Seeing an ex-girlfriend with a new partner transforms the dreamer's emotions into ""rabbia, in delusione"" (anger, in disappointment)."
69,"./DL049/DL049_night04.txt","Unpleasant/Anxious",5,"The atmosphere is ""malinconica, un po' triste"" (melancholy, a bit sad), focusing on the theme of elderly deaths from Covid, causing ""molta malinconia"" (a lot of melancholy)."
70,"./DL049/DL049_night06.txt","Unpleasant/Anxious",2,"The dream is ""non spiacevole"" (not unpleasant), but involves a ""crescente tensione"" (growing tension) during a treasure hunt in a labyrinth."
71,"./DL049/DL049_night07.txt","Unpleasant/Anxious",2,"A series of bleak, isolating images: a ""palazzone diroccato"" (dilapidated building) , ""atmosfere... molto scure"" (very dark atmospheres) , and waiting in the rain for a father who ""non arrivava"" (wasn't arriving)."
75,"./DL055/DL055_night12.txt","Unpleasant/Anxious",2,"Going dancing in a ""posto molto strano"" (very strange place) that is claustrophobic, with a ""tetto... bassissimo"" (very low roof) and ""cunicoli"" (tunnels)."
76,"./DL055/DL055_night14.txt","Unpleasant/Anxious",5,"A classic exam anxiety dream: having to retake an exam but having ""non avevo voglia di far niente"" (no desire to do anything)."
78,"./DL062/DL062_night01.txt","Unpleasant/Anxious",2,"A ""pezzo della casa"" (piece of the house) is ""bruciando"" (burning). Although the parents are calm, a fire (""incendio allucinante"") is an inherently anxious event."
80,"./DL062/DL062_night04.txt","Unpleasant/Anxious",2,"A ""difficoltà grossa"" (big difficulty) in hosting a dinner: few guests arrive, food is ""criticati"" (criticized), and an intimate moment is ""persa"" (lost) due to chaos ."
81,"./DL062/DL062_night05.txt","Unpleasant/Anxious",5,"The dreamer is ""arrabbiata"" (angry) with an ex-boyfriend and confronts him about ""bugie"" (lies)."
83,"./DL062/DL062_night07.txt","Unpleasant/Anxious",2,"A child watching a show is ""troppa paura"" (too scared) , followed by a ""molto problematico"" (very problematic) and ""brutto"" (ugly) house renovation."
85,"./DL062/DL062_night15.txt","Unpleasant/Anxious",5,"A stress dream about being ""tardissimo"" (very late) for a ship after having to chase down customers who took the wrong shoes ."
87,"./DL070/DL070_night03.txt","Unpleasant/Anxious",2,"The dreamer feels ""una grande scocciatura"" (a big nuisance) and ""un po' scocciata"" (a bit annoyed) because of ""mille cose da fare"" (a thousand things to do)."
91,"./DL070/DL070_night08.txt","Unpleasant/Anxious",5,"Starts very positive with a ""bellissimo"" (beautiful) cottage , but shifts to the dreamer's husband being ""triste"" (sad), causing the dreamer to feel ""molto dispiaciuta"" (very sorry)."
92,"./DL070/DL070_night09.txt","Unpleasant/Anxious",2,"A stressful and disgusting situation: a cousin brings ""cinghiali vivi"" (live wild boars) and wants to ""macellarli"" (butcher them) in the dreamer's apartment, causing an argument."
96,"./DL073/DL073_night03.txt","Unpleasant/Anxious",1,"The dreamer feels ""sconsolata"" (disheartened) from being unable to find breakfast and has a ""possibilità di perdermi"" (possibility of getting lost)."
98,"./DL073/DL073_night13.txt","Unpleasant/Anxious",2,"The report explicitly states ""Agitazione barra spavento"" (Agitation / fright)."
100,"./DL078/DL078_night01.txt","Unpleasant/Anxious",2,"The dreamer ""mi ero scordata"" (had forgotten) a friend's birthday, leading to a ""sensazione di ansia"" (feeling of anxiety)."
101,"./DL078/DL078_night02.txt","Unpleasant/Anxious",2,"A dream of high emotional distress: ""gelosa"" (jealous) , ""arrabbiata, frustrata"" (angry, frustrated) , ""atmosfera... cupa"" (gloomy atmosphere) , feeling ""dispiaceva"" (sad) for abandoning a dog , and a new dog becoming ""distaccato"" (detached)."
105,"./DL078/DL078_night11.txt","Unpleasant/Anxious",2,"A chaotic dream: someone ""mi fissava da fuori"" (was staring at me from outside) , a sea monster evokes ""timore, un po' di paura"" (dread, a bit of fear) , a friend cries , someone is ""soffocato"" (suffocated) , and a ""sensazione della fine un po' brutta"" (a feeling of a slightly bad ending)."
107,"./DL080/DL080_night01.txt","Unpleasant/Anxious",5,"The report explicitly states ""Qualcosa di non piacevole"" (Something not pleasant) and ""mi divincolavo"" (I was struggling free)."
111,"./DL086/DL086_night04.txt","Unpleasant/Anxious",5,"Work/school anxiety: writing ""non andavano bene"" (wasn't going well) , and ""non era uscita a combinare niente"" (hadn't managed to do anything) on an essay."
114,"./DL086/DL086_night10.txt","Unpleasant/Anxious",2,"The dreamer and boyfriend are ""frustrati"" (frustrated) because dogs left the stairs ""tutte piene di pipì"" (all full of pee)."
117,"./DL086/DL086_night14.txt","Unpleasant/Anxious",2,"Finding an ""neonata... abbandonata"" (abandoned newborn), which is an inherently stressful situation."
